model,params,refit_fallbacks,feature_set,repeat,fold,train_rmse,test_rmse
xgboost_per_family,"{""alcohol/phenol"": {""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 7, ""model__learning_rate"": 0.01}, ""alkane"": {""model__n_estimators"": 300, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}, ""alkene/alkyne"": {""model__n_estimators"": 300, ""model__min_child_weight"": 5, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}, ""amine"": {""model__n_estimators"": 300, ""model__min_child_weight"": 3, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}}",,curated (log),0,1,4.839341021036012,36.174551537252725
ridge,"{""regressor__model__alpha"": 0.1}",0.0,curated (log) + family,0,1,21.689063018157164,29.66543562574208
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,curated (log) + family,0,1,1.8039448531475217,36.13146492804673
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50], ""regressor__model__alpha"": 0.0001, ""regressor__model__activation"": ""relu""}",0.0,curated (log) + family,0,1,19.78786843151106,31.511394187963433
ensemble,,,curated (log) + family,0,1,12.66352771692823,30.501714322646983
ridge,"{""regressor__model__alpha"": 0.1}",0.0,old 12,0,2,31.714037180114243,29.608351658691596
xgboost,"{""model__n_estimators"": 300, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,old 12,0,2,9.747214826253883,23.487552443826583
mlp,"{""regressor__model__solver"": ""sgd"", ""regressor__model__learning_rate_init"": 0.1, ""regressor__model__learning_rate"": ""adaptive"", ""regressor__model__hidden_layer_sizes"": [50], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,old 12,0,2,19.22810048455763,24.07613211070236
ensemble,,,old 12,0,2,17.646204192219418,23.562525953780415
ridge,"{""regressor__model__alpha"": 0.1}",0.0,curated,0,2,24.052287690799925,25.208549318632638
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}",0.0,curated,0,2,6.882214236954608,22.867710492369913
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50], ""regressor__model__alpha"": 0.0001, ""regressor__model__activation"": ""relu""}",0.0,curated,0,2,17.219606227855348,20.217834542893034
ensemble,,,curated,0,2,14.227229570823129,20.92539908073165
ridge,"{""regressor__model__alpha"": 0.1}",0.0,curated (log),0,2,22.777706026432515,23.560229609002246
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}",0.0,curated (log),0,2,6.882214236954608,22.867710492369913
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50], ""regressor__model__alpha"": 0.0001, ""regressor__model__activation"": ""relu""}",0.0,curated (log),0,2,18.03887320470841,23.301506745838225
ensemble,,,curated (log),0,2,13.884837022493965,21.522393986596267
xgboost_per_family,"{""alcohol/phenol"": {""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 7, ""model__learning_rate"": 0.1}, ""alkane"": {""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}, ""alkene/alkyne"": {""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 7, ""model__learning_rate"": 0.01}, ""amine"": {""model__n_estimators"": 500, ""model__min_child_weight"": 5, ""model__max_depth"": 7, ""model__learning_rate"": 0.01}}",,curated (log),0,2,9.365815413104174,19.96474977919243
ridge,"{""regressor__model__alpha"": 0.1}",0.0,curated (log) + family,0,2,21.857566652399488,24.359825536139578
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}",0.0,curated (log) + family,0,2,6.977609890158505,22.694297943857112
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50], ""regressor__model__alpha"": 0.0001, ""regressor__model__activation"": ""relu""}",1.0,curated (log) + family,0,2,19.887065329041267,25.289059995707
ensemble,,,curated (log) + family,0,2,13.987595203557058,22.543381623234488
ridge,"{""regressor__model__alpha"": 0.1}",0.0,old 12,0,3,31.238580071595567,31.75136446219454
xgboost,"{""model__n_estimators"": 300, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,old 12,0,3,9.19805930546319,20.18834002156993
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50], ""regressor__model__alpha"": 0.0001, ""regressor__model__activation"": ""relu""}",1.0,old 12,0,3,17.526995043818335,20.196957582072663
ensemble,,,old 12,0,3,16.74869716186554,21.285535701802306
ridge,"{""regressor__model__alpha"": 0.1}",0.0,curated,0,3,24.212116566477935,24.459168483887183
xgboost,"{""model__n_estimators"": 300, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,curated,0,3,5.394868593131684,19.726753881473083
