cmpdname,nist_id,boiling_point_kelvin,n_measurements,status,round,rank_in_round,source
Uncariursanic acid,,,0,not_found,6,69,cache
Trinitrophloroglucinol,,,0,not_found,6,70,cache
Agamanone,,,0,not_found,6,71,cache
Cobamamide,,,0,not_found,6,72,cache
6-Hydroxykaempferol,,,0,not_found,6,73,cache
Stemonacetal,,,0,not_found,6,74,cache
Calditoglycerocaldachaeol,,,0,not_found,6,75,cache
Arendal,,,0,not_found,6,76,cache
4-Deoxyphysalolactone,,,0,not_found,6,77,cache
Prodiamine,C29091212,,0,no_boiling_point,6,78,cache
Lodoxamide,,,0,not_found,6,79,cache
Naloxegol,,,0,not_found,6,80,cache
Villinol,,,0,not_found,6,81,cache
Dinitramine,C29091052,,0,no_boiling_point,6,82,cache
4-Sulfophthalic acid,,,0,not_found,6,83,cache
5-Sulfoisophthalic acid,,,0,not_found,6,84,cache
Hydroxycitric acid,,,0,not_found,6,85,cache
Mitsoamide,,,0,not_found,6,86,cache
Dorzolamide,,,0,not_found,6,87,cache
Blenoxane,,,0,not_found,6,88,cache
Carbophenoxon sulfone,C16662876,,0,no_boiling_point,6,89,cache
Leucocholic Acid,,,0,not_found,6,90,cache
Syringaresinol,,,0,not_found,6,91,cache
Haliclonyne,,,0,not_found,6,92,cache
Hamilcone,,,0,not_found,6,93,cache
Tyrosylglutamine,,,0,not_found,6,94,cache
Darolutamide,,,0,not_found,6,95,cache
Trimethylolmelamine,,,0,not_found,6,96,cache
Phenoldisulfonic acid,,,0,not_found,6,97,cache
Hydroxymethylbilane,,,0,not_found,6,98,cache
Ixabepilone,,,0,not_found,6,99,cache
Losartan carboxylic acid,,,0,not_found,7,0,cache
Balaglitazone,,,0,not_found,7,1,cache
Lurasidone,,,0,not_found,7,2,cache
Vilazodone,,,0,not_found,7,3,cache
Obyanamide,,,0,not_found,7,4,cache
F8426-dicarboxylic acid,,,0,not_found,7,5,cache
Nigerone,,,0,not_found,7,6,cache
Isonigerone,,,0,not_found,7,7,cache
Isoaurasperone,,,0,not_found,7,8,cache
Troglitazone,,,0,not_found,7,9,cache
Kekulene,,,0,not_found,7,10,scraped
Perospirone,,,0,not_found,7,11,cache
Hexaphenyldisilthiane,,,0,not_found,7,12,scraped
Simetryn sylfone,R543776,,0,no_boiling_point,7,13,cache
3-Acetyldeoxynivalenol,,,0,not_found,7,14,cache
15-Acetyldeoxynivalenol,,,0,not_found,7,15,cache
Hexaphenylmelamine,C18343403,,0,no_boiling_point,7,16,cache
Glycodehydrocholic acid,,,0,not_found,7,17,cache
Tranxene,,,0,not_found,7,18,cache
Timolol,C91524162,,0,no_boiling_point,7,19,cache
Topramezone,,,0,not_found,7,20,cache
Hydroxypioglitazone,,,0,not_found,7,21,cache
Floridamide,,,0,not_found,7,22,cache
Heterophynone,,,0,not_found,7,23,cache
Oryzanol,,,0,not_found,7,24,cache
gamma-Oryzanol,,,0,not_found,7,25,cache
Orizanol,,,0,not_found,7,26,cache
Norbinaltorphimine,,,0,not_found,7,27,cache
Cubebinone,C101751717,,0,no_boiling_point,7,28,cache
Benzodrocortisone,,,0,not_found,7,29,cache
Indapamide,,,0,not_found,7,30,cache
Bitolterol,,,0,not_found,7,31,cache
Usnic acid,,,0,not_found,7,32,cache
Raloxifene,,,0,not_found,7,33,cache
Lescol,,,0,not_found,7,34,cache
Pyranochromene,,,0,not_found,7,35,cache
Bicyclopyrone,,,0,not_found,7,36,cache
Liquoric acid,,,0,not_found,7,37,cache
Fenprostalene,,,0,not_found,7,38,cache
Irigenin trimethyl ether,,,0,not_found,7,39,cache
Ovral,,,0,not_found,7,40,cache
Tetradodecylstannane,C5827565,,0,no_boiling_point,7,41,cache
Polidocanol,,,0,not_found,7,42,cache
Nivalenol,,,0,not_found,7,43,cache
Ascidiacyclamide,,,0,not_found,7,44,cache
Difethialone,,,0,not_found,7,45,cache
Mesuol,,,0,not_found,7,46,cache
Metolazone,C17560519,,0,no_boiling_point,7,47,cache
Levofuraltadone,,,0,not_found,7,48,cache
Furaltadone,,,0,not_found,7,49,cache
Indanthrene,,,0,not_found,7,50,cache
Lpc-Ether,,,0,not_found,7,51,cache
Artelastochromene,,,0,not_found,7,52,cache
Paliperidone,,,0,not_found,7,53,cache
Decapropylene glycol,,,0,not_found,7,54,cache
trans-Thiothixene,,,0,not_found,7,55,cache
Thiothixene,C5591457,,0,no_boiling_point,7,56,cache
Hexamollamide,,,0,not_found,7,57,cache
Ecalcidene,,,0,not_found,7,58,cache
Carpipramine,C5942950,,0,no_boiling_point,7,59,cache
Helihumulone,,,0,not_found,7,60,cache
Ergotamine,C113155,,0,no_boiling_point,7,61,cache
Dihydroergotamine,C511126,,0,no_boiling_point,7,62,cache
Larsucosterol,,,0,not_found,7,63,cache
Onapristone,,,0,not_found,7,64,cache
Nefazodone,C83366669,,0,no_boiling_point,7,65,cache
Risperidone,,,0,not_found,7,66,cache
Aristolochic acid,,,0,not_found,7,67,cache
Anthothecol,,,0,not_found,7,68,cache
Podophyllotoxone,,,0,not_found,7,69,cache
Benzgalantamine,,,0,not_found,7,70,cache
Hexaphenylbenzene,C992041,,0,no_boiling_point,7,71,scraped
Circumanthracene,,,0,not_found,7,72,scraped
Byrsonic acid,,,0,not_found,7,73,cache
Preferrugone,,,0,not_found,7,74,cache
Spiperone,C749020,,0,no_boiling_point,7,75,cache
Bopindolol,,,0,not_found,7,76,cache
Cilostazol,,,0,not_found,7,77,cache
Licoricone,,,0,not_found,7,78,cache
Isoaurmillone,,,0,not_found,7,79,cache
Picotamide,,,0,not_found,7,80,cache
Drometrizole trisiloxane,,,0,not_found,7,81,cache
Halofuginone,,,0,not_found,7,82,cache
Eschscholtzxanthone,,,0,not_found,7,83,scraped
Lexacalcitol,,,0,not_found,7,84,cache
Rubrene,C517511,,0,no_boiling_point,7,85,scraped
Aurmillone,,,0,not_found,7,86,cache
Amorpholone,,,0,not_found,7,87,cache
Gravacridonetriol,,,0,not_found,7,88,cache
Loteprednol,,,0,not_found,7,89,cache
Dysidenamide,,,0,not_found,7,90,cache
Barbexaclone,,,0,not_found,7,91,cache
Demethylwedelolactone,,,0,not_found,7,92,cache
Rotenolone,,,0,not_found,7,93,cache
Sumatrol,,,0,not_found,7,94,cache
9-Hydroxycalabaxanthone,,,0,not_found,7,95,cache
alpha-Toxicarol,,,0,not_found,7,96,cache
beta-Toxicarol,,,0,not_found,7,97,cache
Bimatoprost Acid,,,0,not_found,7,98,cache
Sulfalene,,,0,not_found,7,99,cache
Hexaphenyldistannane,C1064104,,0,no_boiling_point,8,0,scraped
Echinenone,,,0,not_found,8,1,scraped
Phoenicopterone,,,0,not_found,8,2,scraped
4-Ketotorulene,,,0,not_found,8,3,scraped
Scytodecamide,,,0,not_found,8,4,cache
3-Methoxyleprotene,,,0,not_found,8,5,scraped
3-Hydroxyisorenieratene,,,0,not_found,8,6,scraped
Torulene,,,0,not_found,8,7,scraped
Tucupentol,,,0,not_found,8,8,cache
Caciqueamide,,,0,not_found,8,9,cache
Pectenolone,,,0,not_found,8,10,cache
