cmpdname,nist_id,boiling_point_kelvin,n_measurements,status
Tenamfetamine,,,0,not_found
3-Aminobenzamide,C3544249,,0,no_boiling_point
Meglutol,,,0,not_found
3-Nitropropionic acid,,,0,not_found
3-Phosphonopropionic acid,,,0,not_found
4-Chlororesorcinol,C95885,,0,no_boiling_point
Homovanillic Acid,C306081,,0,no_boiling_point
5-Hydroxydecanoic acid,,,0,not_found
5-Methoxytryptamine,C608071,,0,no_boiling_point
7-Hydroxyflavanone,,,0,not_found
Docebenone,,,0,not_found
Acebutolol,C37517309,,0,no_boiling_point
Acetaminosalol,,,0,not_found
Acetarsol,,,0,not_found
Acetazolamide,C59665,,0,no_boiling_point
Acetohexamide,C968810,,0,no_boiling_point
Acetohydroxamic Acid,C546883,,0,no_boiling_point
Acexamic Acid,,,0,not_found
Afloqualone,,,0,not_found
Albuterol,,,0,not_found
Alendronic Acid,,,0,not_found
Alprenolol,C13655522,,0,no_boiling_point
Altretamine,C645056,,0,no_boiling_point
Ambroxol,C18683915,,0,no_boiling_point
Diatrizoic Acid,,,0,not_found
Aminohippuric acid,,,0,not_found
Amiodarone,,,0,not_found
Amobarbital,C57432,,0,no_boiling_point
Anisindione,C117373,,0,no_boiling_point
Acetovanillone,C498022,570.7,1,found
Aristolochic acid,,,0,not_found
Arotinolol,,,0,not_found
Atenolol,C29122687,,0,no_boiling_point
Aurintricarboxylic acid,,,0,not_found
Azelaic Acid,C123999,,0,no_boiling_point
Barbital,C57443,,0,no_boiling_point
Befunolol,,,0,not_found
Bentazone,C25057890,,0,no_boiling_point
Benzamide,,,0,not_found
Benzbromarone,,,0,not_found
Mellitic Acid,C517602,,0,no_boiling_point
Benzquinamide,C63127,,0,no_boiling_point
Betaxolol,,,0,not_found
Bethanechol,,,0,not_found
Bevantolol,,,0,not_found
Bicalutamide,C90357065,,0,no_boiling_point
Bisoprolol,C66722449,,0,no_boiling_point
Bithionol,C97187,,0,no_boiling_point
Bromisoval,C496673,,0,no_boiling_point
Bromperidol,C10457906,,0,no_boiling_point
Bronopol,C52517,,0,no_boiling_point
Bunitrolol,,,0,not_found
Bupranolol,,,0,not_found
Buspirone,C36505847,,0,no_boiling_point
Butabarbital,C125406,,0,no_boiling_point
Butalbital,,,0,not_found
Metrizoic acid,,,0,not_found
Spermidic acid,,,0,not_found
Carisoprodol,C78444,,0,no_boiling_point
Carpipramine,C5942950,,0,no_boiling_point
Carteolol,,,0,not_found
Carvedilol,,,0,not_found
Oracefal,,,0,not_found
Celiprolol,,,0,not_found
Cetyl Alcohol,,,0,not_found
Chlormezanone,C80773,,0,no_boiling_point
Chlorpropamide,C94202,,0,no_boiling_point
Chlorthalidone,C77361,,0,no_boiling_point
Cilostazol,,,0,not_found
Cimaterol,,,0,not_found
Clenbuterol,,,0,not_found
Clocapramine,,,0,not_found
Clofazimine,,,0,not_found
Clofibric Acid,C882097,,0,no_boiling_point
Clopamide,,,0,not_found
Clorazepic Acid,R17056,,0,no_boiling_point
Cyclophosphamide,C50180,,0,no_boiling_point
Cystamine,C51854,,0,no_boiling_point
Imidazole carboxamide,,,0,not_found
Dapsone,C80080,,0,no_boiling_point
Deferiprone,,,0,not_found
Deferoxamine,C70519,,0,no_boiling_point
Nonivamide,,,0,not_found
Celestone,C378449,,0,no_boiling_point
Dichlorophene,C97234,,0,no_boiling_point
Dichlorphenamide,C120978,,0,no_boiling_point
Pentetic Acid,C67436,,0,no_boiling_point
Diflunisal,C22494424,,0,no_boiling_point
Dimethadione,C695534,,0,no_boiling_point
Dipyrithione,,,0,not_found
Disopyramide,C3737095,,0,no_boiling_point
Domperidone,,,0,not_found
Droperidol,C548732,,0,no_boiling_point
Ethacrynic acid,,,0,not_found
Tibutol,,,0,not_found
Ethenzamide,C938738,,0,no_boiling_point
Ethoxzolamide,C452357,,0,no_boiling_point
Etidronic Acid,,,0,not_found
Exalamide,,,0,not_found
Fenoterol,,,0,not_found
Flopropione,C2295581,,0,no_boiling_point
Flufenamic acid,C530789,,0,no_boiling_point
Fluoromethalone,,,0,not_found
Flutamide,C13311847,,0,no_boiling_point
Formoterol,,,0,not_found
Fosfosal,Fosfosal,,0,no_boiling_point
Levofuraltadone,,,0,not_found
Furoxone,C67458,,0,no_boiling_point
Fusaric Acid,C536696,,0,no_boiling_point
Gossypol,,,0,not_found
Halazone,C80137,,0,no_boiling_point
Haloperidol,C52868,,0,no_boiling_point
Harmalol,,,0,not_found
Heptaminol,C372667,,0,no_boiling_point
Hexachlorophene,C70304,,0,no_boiling_point
Dihydrodiethylstilbestrol,,,0,not_found
Hexobarbital,C56291,,0,no_boiling_point
Hexylresorcinol,C136776,607.2,1,found
1-Methylhistamine,,,0,not_found
Hycanthone,,,0,not_found
4-Hydroxytolbutamide,,,0,not_found
L-Hyoscyamine,C101315,,0,no_boiling_point
Idebenone,,,0,not_found
Ifosfamide,,,0,not_found
Amrinone,,,0,not_found
Indapamide,,,0,not_found
Iodixanol,,,0,not_found
Iodoacetamide,C144489,,0,no_boiling_point
Iohexol,,,0,not_found
Iomeprol,,,0,not_found
Iopanoic Acid,C96833,,0,no_boiling_point
Iodipamide,,,0,not_found
Ioversol,,,0,not_found
Ioxaglic acid,,,0,not_found
3-Indolepropionic acid,C830966,,0,no_boiling_point
4-Piperidinecarboxamide,C39546322,,0,no_boiling_point
Isopropamide,C7492322,,0,no_boiling_point
Isoproterenol,C7683592,,0,no_boiling_point
Canditral,,,0,not_found
Juglone,C481390,,0,no_boiling_point
Kebuzone,,,0,not_found
Kojic acid,C501304,,0,no_boiling_point
Kynurenic acid,,,0,not_found
Labetalol,C36894696,,0,no_boiling_point
Lapachol,C84797,,0,no_boiling_point
beta-Lapachone,,,0,not_found
Loperamide,C53179116,,0,no_boiling_point
Mabuterol,,,0,not_found
Meclofenamic Acid,C644622,,0,no_boiling_point
Mefenamic Acid,C61687,,0,no_boiling_point
Mefexamide,,,0,not_found
Methylglucamine,C6284408,,0,no_boiling_point
Mesalamine,C89576,,0,no_boiling_point
Metaproterenol,,,0,not_found
Methapyrilene,C91805,,0,no_boiling_point
Metharbital,C50113,,0,no_boiling_point
Methazolamide,C554574,,0,no_boiling_point
Methocarbamol,C532036,,0,no_boiling_point
Pamine,,,0,not_found
Meticrane,,,0,not_found
Metoclopramide,C364625,,0,no_boiling_point
Metolazone,C17560519,,0,no_boiling_point
Metoprolol,,,0,not_found
Metyrapone,C54364,,0,no_boiling_point
Milrinone,,,0,not_found
Dibromdulcitol,,,0,not_found
Mitoxantrone,,,0,not_found
Moperone,C1050799,,0,no_boiling_point
Muscimol,,,0,not_found
N-phenylanthranilic acid,C91407,,0,no_boiling_point
Solgol,C42200339,,0,no_boiling_point
Nalidixic Acid,C389082,,0,no_boiling_point
Nefazodone,C83366669,,0,no_boiling_point
Nialamide,C51127,,0,no_boiling_point
Niceritrol,,,0,not_found
Niclosamide,C50657,,0,no_boiling_point
Nifenazone,C2139471,,0,no_boiling_point
Niflumic acid,C4394007,,0,no_boiling_point
Nilutamide,,,0,not_found
Nipecotic acid,,,0,not_found
Nordihydroguaiaretic acid,C500389,,0,no_boiling_point
Octopamine,,,0,not_found
Oxidopamine,,,0,not_found
Oxolinic Acid,C14698294,,0,no_boiling_point
Oxprenolol,C6452717,,0,no_boiling_point
Oxybenzone,C131577,,0,no_boiling_point
Oxyphenbutazone,C129204,,0,no_boiling_point
Oxyphencyclimine,C125531,,0,no_boiling_point
4-Aminosalicylic acid,C65496,,0,no_boiling_point
4-Nitrophenylacetic acid,,,0,not_found
Palmitoylethanolamide,C544310,,0,no_boiling_point
Pamidronic Acid,,,0,not_found
Panthenol,,,0,not_found
DL-Penicillamine,,,0,not_found
Pentobarbital,C76744,,0,no_boiling_point
Phenobarbital,C50066,,0,no_boiling_point
Phenylbutazone,C50339,,0,no_boiling_point
Phosalone,C2310170,,0,no_boiling_point
Picotamide,,,0,not_found
Pindolol,C13523869,,0,no_boiling_point
Pioglitazone,,,0,not_found
Pipamperone,C1893330,,0,no_boiling_point
Pipemidic Acid,C51940444,,0,no_boiling_point
Pirbuterol,,,0,not_found
Pirenperone,,,0,not_found
Piromidic acid,,,0,not_found
Nonaethylene glycol,C3386183,,0,no_boiling_point
Practolol,C6673354,,0,no_boiling_point
Primidone,C125337,,0,no_boiling_point
Probucol,,,0,not_found
Procainamide,C51069,,0,no_boiling_point
Procaterol,,,0,not_found
Propafenone,C54063535,,0,no_boiling_point
Propranolol,C525666,,0,no_boiling_point
Propyliodone,C587611,,0,no_boiling_point
Protokylol,C136709,,0,no_boiling_point
Pyrimethamine,C58140,,0,no_boiling_point
