cmpdname,nist_id,boiling_point_kelvin,n_measurements,status
Lifibrol,,,0,not_found
Cyclodisone,,,0,not_found
2-Phenoxybutanoic acid,,,0,not_found
Esmolol,,,0,not_found
Piroxantrone,,,0,not_found
Adapalene,,,0,not_found
Levobetaxolol,,,0,not_found
Gadoteridol,,,0,not_found
Arbutamine,,,0,not_found
Ibandronic Acid,,,0,not_found
Ziprasidone,,,0,not_found
Tiludronic Acid,,,0,not_found
Trichloroacetamide,C594650,512.2,1,found
Dinitromethane,C625763,,0,no_boiling_point
Hexanitroethane,C918376,,0,no_boiling_point
Acid Violet 7 free acid,,,0,not_found
Dilinol acid,,,0,not_found
Stearyldiethanolamine,,,0,not_found
D-Lactic acid,,,0,not_found
Bezitramide,,,0,not_found
Methylsilanetriol,,,0,not_found
Brolamfetamine,C64638079,,0,no_boiling_point
Mefluidide-diolamine,,,0,not_found
Tritonal,,,0,not_found
Octol,,,0,not_found
4-Nitropyrene,C57835924,,0,no_boiling_point
Cetearyl alcohol,,,0,not_found
Cathinone,C71031157,,0,no_boiling_point
Tartrazine acid,,,0,not_found
Musk xylene,C81152,,0,no_boiling_point
Vanillyl alcohol,C498000,,0,no_boiling_point
tert-Butyldiethanolamine,C2160932,,0,no_boiling_point
Isothiocyanic acid,C3129906,,0,no_boiling_point
Clonitazene,,,0,not_found
Trichlorophene,C70304,,0,no_boiling_point
Disulfuric acid,,,0,not_found
Telluric acid,,,0,not_found
Styromal,,,0,not_found
1-Nitroadamantane,C7575828,,0,no_boiling_point
2-Nitroadamantane,C54564317,,0,no_boiling_point
1-Hyoscyamine,C101315,,0,no_boiling_point
Fenofibric Acid,,,0,not_found
Ursolic Acid,,,0,not_found
N-Methylnicotinamide,,,0,not_found
Betulinic Acid,,,0,not_found
Tuberculostearic acid,,,0,not_found
Medicagenic acid,,,0,not_found
4-Hydroxybenzamide,C619578,,0,no_boiling_point
Xanthotoxol,,,0,not_found
25-Hydroxycholesterol,,,0,not_found
Alizarin complexone,,,0,not_found
Peroxypropionic acid,C4212435,,0,no_boiling_point
Periodic acid,,,0,not_found
Gingko lactone,,,0,not_found
Peroxynitric acid,,,0,not_found
Oxiglutatione,,,0,not_found
Secoisolariciresinol,,,0,not_found
Diprogulic Acid,,,0,not_found
Taleranol,,,0,not_found
Exaprolol,R217868,,0,no_boiling_point
Iopamidol,,,0,not_found
4-Acetamidosalicylic acid,,,0,not_found
6beta-Hydroxytestosterone,,,0,not_found
Tetraiodothyroacetic acid,,,0,not_found
Tetrahydrocorticosterone,,,0,not_found
Tetrahydrodeoxycortisol,,,0,not_found
d-Camphorsulfonic acid,,,0,not_found
Terizidone,,,0,not_found
Oxaceprol,,,0,not_found
Performic Acid,,,0,not_found
8-Aminooctanoic acid,C1002579,,0,no_boiling_point
Cortivazol,,,0,not_found
Methylestradiol,C302761,,0,no_boiling_point
2-Methoxyestradiol,,,0,not_found
16-Ketoestradiol,,,0,not_found
6-Ketoestradiol,,,0,not_found
Phenolphthalol,C81925,,0,no_boiling_point
Violuric acid,C87398,,0,no_boiling_point
Tetrachlorohydroquinone,C87876,,0,no_boiling_point
Chloranilic acid,C87887,,0,no_boiling_point
2-Methylphloroglucinol,C88039,,0,no_boiling_point
Homophthalic acid,,,0,not_found
Salicylhydroxamic acid,,,0,not_found
Phenoldisulfonic acid,,,0,not_found
Nitarsone,,,0,not_found
Phenylboronic acid,,,0,not_found
5-Aminoisophthalic acid,,,0,not_found
1-Propanearsonic acid,,,0,not_found
Acetone semicarbazone,C110203,,0,no_boiling_point
Dioctadecylamine,C112992,,0,no_boiling_point
Moskene,C116665,,0,no_boiling_point
Rhodizonic acid,,,0,not_found
N-Methylanthranilic acid,C119686,,0,no_boiling_point
Parabanic acid,C120898,,0,no_boiling_point
3-Nitrobenzenesulfonamide,C121528,,0,no_boiling_point
Diphenolic acid,,,0,not_found
Chromotropic acid,,,0,not_found
Croceic acid,,,0,not_found
2-Ethoxybenzoic acid,C134112,,0,no_boiling_point
2-Benzoylthiophene,C135002,573.2,2,found
Musk tibetene,C145391,,0,no_boiling_point
Thiothiamine,,,0,not_found
2-Iodosobenzoic acid,,,0,not_found
Diazobenzenesulfonic acid,,,0,not_found
2-Oxooctanoic acid,,,0,not_found
Octafluoroadipic acid,,,0,not_found
3-Guanidinopropionic acid,,,0,not_found
Trifluoroacetamide,C354381,435.7,1,found
Pentafluoropropionamide,C354767,,0,no_boiling_point
Hexafluoroglutaric acid,C376738,,0,no_boiling_point
Perfluorosuccinic acid,,,0,not_found
Perfluorooctanamide,,,0,not_found
2-Fluorobenzamide,C445283,,0,no_boiling_point
Flavanthrone,,,0,not_found
Orsellinic acid,C480648,,0,no_boiling_point
Harmol,C487036,,0,no_boiling_point
5-Hydroxyflavone,C491781,,0,no_boiling_point
3-Pentadecylcatechol,,,0,not_found
Coumalic acid,C500050,,0,no_boiling_point
5-Heptylresorcinol,C500674,,0,no_boiling_point
3-Pentadecylphenol,C501246,,0,no_boiling_point
3-Hydroxypropionic acid,,,0,not_found
Dithiodiglycolic acid,,,0,not_found
Rotenolone,,,0,not_found
Diethylmalonic acid,C510203,,0,no_boiling_point
Opianic acid,,,0,not_found
4-Pentylresorcinol,C533244,,0,no_boiling_point
Acetonedicarboxylic acid,,,0,not_found
Taurocyamine,,,0,not_found
1-Hentriacontanol,,,0,not_found
Picrolonic acid,C550743,,0,no_boiling_point
Docosamethyldecasiloxane,,,0,not_found
Brallobarbital,C561864,,0,no_boiling_point
Bromonitromethane,C563702,,0,no_boiling_point
Isobutyramide,C563837,491.2,1,found
3-Aminosalicylic acid,C570230,,0,no_boiling_point
Buclosamide,,,0,not_found
2-Acetylbenzoic acid,C577560,,0,no_boiling_point
N-benzoylanthranilic acid,,,0,not_found
Nicotinuric acid,,,0,not_found
Bromohydroquinone,,,0,not_found
3-Nitrostyrene,C586390,,0,no_boiling_point
Allylarsonic acid,C590341,,0,no_boiling_point
17alpha-Estradiol,,,0,not_found
4-Methoxyestradiol,,,0,not_found
Butofilolol,,,0,not_found
Ethypicone,C467903,,0,no_boiling_point
Brinzolamide,,,0,not_found
Valdetamide,C512481,,0,no_boiling_point
Propacetamol,,,0,not_found
Drospirenone,,,0,not_found
Artemether,,,0,not_found
Trimegestone,,,0,not_found
Epiestriol,C547819,,0,no_boiling_point
Ethylmethylmalonic acid,,,0,not_found
Diethyl sulfone,C597353,,0,no_boiling_point
Dibutyl sulfone,C598049,,0,no_boiling_point
Glycinamide,C598414,,0,no_boiling_point
Glycolamide,C598425,,0,no_boiling_point
Ethyl phenyl sulfone,C599702,,0,no_boiling_point
Piloty's acid,C599713,,0,no_boiling_point
Isopropylmalonic acid,,,0,not_found
3-Nitrophthalic acid,C603112,,0,no_boiling_point
2-Nitromesitylene,C603714,528.2,1,found
Benzenehexol,,,0,not_found
2-Furamide,,,0,not_found
2-Chlorobenzamide,,,0,not_found
2-Hydroxynicotinic acid,C609712,,0,no_boiling_point
2-Ethylnitrobenzene,C612226,,0,no_boiling_point
7-Methyluric acid,,,0,not_found
5-Formylsalicylic acid,,,0,not_found
m-Toluamide,C618473,,0,no_boiling_point
3-Chlorobenzamide,C618484,,0,no_boiling_point
4-Nitrosalicylic acid,,,0,not_found
3-Nitrobenzyl alcohol,C619250,,0,no_boiling_point
4-Methylbenzamide,C619556,,0,no_boiling_point
4-Nitrobenzyl alcohol,C619738,,0,no_boiling_point
Dibenzyl sulfone,C620326,,0,no_boiling_point
2-Phenoxyacetamide,C621885,,0,no_boiling_point
4-Aminobenzyl alcohol,,,0,not_found
5-Oxodecanoic acid,,,0,not_found
Ethylthioacetic acid,,,0,not_found
Octanamide,C629016,,0,no_boiling_point
Hexadecanamide,C629549,,0,no_boiling_point
2-Nonadecanone,C629663,,0,no_boiling_point
2-Sulfamoylbenzoic acid,,,0,not_found
Rose Bengal Lactone,,,0,not_found
2-Aminoresorcinol,,,0,not_found
2-Ethylbutanedioic acid,C636486,,0,no_boiling_point
2-Thiophenemethanol,C636726,480.2,1,found
3-Pyridinesulfonic acid,,,0,not_found
4-Sulfobenzoic acid,,,0,not_found
Tetradecanamide,C638584,,0,no_boiling_point
Anhalamine,,,0,not_found
3-Methylhistamine,,,0,not_found
2-Aminooctanoic acid,C644906,,0,no_boiling_point
Clofenamide,,,0,not_found
N-Acetylhistamine,,,0,not_found
10-Oxoundecanoic acid,,,0,not_found
2-Bromoacetamide,C683578,,0,no_boiling_point
Leucinamide,,,0,not_found
1-Nitroheptane,C693390,,0,no_boiling_point
12-Aminododecanoic acid,,,0,not_found
4-Bromobenzamide,,,0,not_found
4-Bromobenzenesulfonamide,C701348,,0,no_boiling_point
5-Fluoroorotic acid,,,0,not_found
1-Methyluric acid,C708792,,0,no_boiling_point
8-Hydroxyoctanoic acid,C764896,,0,no_boiling_point
Tetrafluorohydroquinone,C771631,,0,no_boiling_point
Triacetylmethane,C815689,476.7,1,found
Cetyl vinyl ether,,,0,not_found
3-Nitrothiophene,C822844,498.2,1,found
2-Methoxyhydroquinone,C824464,,0,no_boiling_point
Octadecanedioic acid,C871705,,0,no_boiling_point
3-Methoxysalicylic acid,,,0,not_found
Pentafluoronitrobenzene,C880784,432.7,1,found
N-Methylolmethacrylamide,,,0,not_found
7-Formylheptanoic acid,,,0,not_found
2-Furanpropionic acid,C935137,,0,no_boiling_point
3-Chloroperbenzoic acid,C937144,,0,no_boiling_point
p-Chloroperbenzoic acid,,,0,not_found
p-Methoxyperbenzoic acid,,,0,not_found
4-Nitroperoxybenzoic acid,,,0,not_found
Morinamide,C952545,,0,no_boiling_point
9-Nitrophenanthrene,C954461,,0,no_boiling_point
Cyclohexylphosphonic acid,,,0,not_found
N-Acetyltryptamine,,,0,not_found
Trimethylolmelamine,,,0,not_found
5-Hydroxymaltol,C1073967,,0,no_boiling_point
Nonanamide,C1120076,,0,no_boiling_point
4-Ethylcatechol,C1124396,,0,no_boiling_point
4-Hexyloxybenzoic acid,C1142398,,0,no_boiling_point
4-Nitrobenzophenone,C1144747,,0,no_boiling_point
Vanillylamine,,,0,not_found
Bicinchoninic acid,,,0,not_found
Fencibutirol,,,0,not_found
Methscopolamine,,,0,not_found
Barbexaclone,,,0,not_found
Moprolol,C5741220,,0,no_boiling_point
Dicresulene,,,0,not_found
Nebivolol,,,0,not_found
Iloperidone,,,0,not_found
Dexrazoxane,,,0,not_found
Clobetasone,,,0,not_found
Masoprocol,,,0,not_found
Diflorasone,,,0,not_found
Endrisone,,,0,not_found
Heptadecanal,C629903,591.15,1,found
4-Fluorobenzamide,C824759,,0,no_boiling_point
Mexenone,,,0,not_found
5-Methoxyresorcinol,C2174643,,0,no_boiling_point
Mepiroxol,,,0,not_found
Naftazone,C15687373,,0,no_boiling_point
Mepindolol,,,0,not_found
Bufuralol,,,0,not_found
Carazolol,,,0,not_found
Loprodiol,C2209861,,0,no_boiling_point
Nixylic acid,,,0,not_found
Biclotymol,,,0,not_found
Indenolol,,,0,not_found
Oxymesterone,C145120,,0,no_boiling_point
Yohimbic Acid,,,0,not_found
Vinylbital,C2430491,,0,no_boiling_point
Tioxolone,C4991655,,0,no_boiling_point
Avarol,,,0,not_found
6-Hydroxyflavone,,,0,not_found
Magnolol,,,0,not_found
Methyl blue free acid,,,0,not_found
Blenoxane,,,0,not_found
Squalamine,,,0,not_found
Desethylhycanthone,,,0,not_found
Juncusol,,,0,not_found
Centazolone,,,0,not_found
3-Benzoylpropionic acid,,,0,not_found
4-Iodosalicylic acid,,,0,not_found
2-Thiophenesulfonamide,C6339873,,0,no_boiling_point
L-Cysteic acid,,,0,not_found
2-Aminobenzenesulfonamide,,,0,not_found
Phenylphosphinic acid,C1779482,,0,no_boiling_point
6-Hydroxynicotinic acid,C5006666,,0,no_boiling_point
2-Aminonicotinic acid,,,0,not_found
4-Butoxybenzoic acid,C1498960,,0,no_boiling_point
5-Aminoorotic acid,C7164434,,0,no_boiling_point
Lobaric Acid,,,0,not_found
2-Aminophenylarsonic acid,C2045003,,0,no_boiling_point
Xanthomicrol,,,0,not_found
Madecassic Acid,,,0,not_found
Panaxadiol,,,0,not_found
Bromosuccinic acid,,,0,not_found
Mandelamide,C4410315,,0,no_boiling_point
Panaxatriol,,,0,not_found
Neotenone,,,0,not_found
Homoeriodictyol,,,0,not_found
Isoneorautenol,,,0,not_found
Maslinic Acid,,,0,not_found
Flurprimidol,,,0,not_found
Paclobutrazol,C76738620,,0,no_boiling_point
Hydroxyaspergillic acid,,,0,not_found
Tetracyanoquinodimethane,,,0,not_found
2-Methyltriacontane,C1560721,,0,no_boiling_point
3-Aminopicolinic acid,,,0,not_found
4'-Cyanoacetophenone,C1443807,,0,no_boiling_point
Ethylphenylmalonic acid,,,0,not_found
Dipropylmalonic acid,,,0,not_found
10-Hydroxydecanoic Acid,C1679534,,0,no_boiling_point
Oxalyldihydroxamic acid,,,0,not_found
Styrylphosphonic acid,,,0,not_found
2-Nitroperbenzoic acid,,,0,not_found
Isophthalamide,C1740574,,0,no_boiling_point
2-Sulphopalmitic acid,,,0,not_found
Chloronitromethane,C1794849,395.65,2,found
2-Oxopentanoic acid,,,0,not_found
3-Chlorosalicylic acid,C1829329,,0,no_boiling_point
N-Methylsalicylamide,,,0,not_found
4-Methoxyphthalic acid,,,0,not_found
2-Hydroxyxanthone,,,0,not_found
1-Heptacosanol,C2004399,,0,no_boiling_point
Atovaquone,,,0,not_found
4-Cyclohexylresorcinol,C2138207,,0,no_boiling_point
Diacetoxydimethylsilane,C2182663,437.0,1,found
4-Methoxyisophthalic acid,,,0,not_found
4-Phenoxybenzoic acid,C2215772,,0,no_boiling_point
Propylbarbital,C2217085,,0,no_boiling_point
4-Methoxysalicylic acid,,,0,not_found
2-Phenoxybenzoic acid,C2243427,,0,no_boiling_point
1-Naphthalenecarboxamide,C2243814,,0,no_boiling_point
4-Benzylresorcinol,,,0,not_found
Decanamide,C2319291,,0,no_boiling_point
12-Oxotridecanoic acid,,,0,not_found
2-Isopropylhydroquinone,,,0,not_found
Methanediamine,,,0,not_found
Icosanal,C2400660,,0,no_boiling_point
Eicosanedioic Acid,C2424922,,0,no_boiling_point
2-Methoxybenzamide,C2439772,,0,no_boiling_point
3'-Acetoxyacetophenone,,,0,not_found
9-Oxononanoic acid,C2553175,,0,no_boiling_point
1-Nitrocyclohexene,C2562370,,0,no_boiling_point
Nitrocyclopentane,C2562381,453.2,1,found
Propionohydroxamic acid,,,0,not_found
5-Methoxysalicylic Acid,,,0,not_found
Phenylmalonic acid,,,0,not_found
Piperonylamine,C2620500,,0,no_boiling_point
Eicosamethylnonasiloxane,C2652133,,0,no_boiling_point
4-Styrenesulfonic acid,,,0,not_found
15-Nonacosanone,C2764730,,0,no_boiling_point
4-Aminobenzamide,C2835689,,0,no_boiling_point
2-Aminobenzophenone,C2835770,,0,no_boiling_point
2-Chloronicotinic acid,,,0,not_found
Decyltriethoxysilane,,,0,not_found
Terephthalamide,C3010820,,0,no_boiling_point
4-Cyanobenzamide,C3034342,,0,no_boiling_point
Docosanamide,C3061754,,0,no_boiling_point
Dodecyltrimethoxysilane,,,0,not_found
Benzyl phenyl sulfone,C3112887,,0,no_boiling_point
Benzyl methyl sulfone,C3112901,,0,no_boiling_point
4-Cyanobenzenesulfonamide,,,0,not_found
4-Hexanoylresorcinol,,,0,not_found
5-Pentadecylresorcinol,,,0,not_found
4-Nitroresorcinol,,,0,not_found
Butylphosphonic acid,,,0,not_found
11-Heneicosanol,C3381268,,0,no_boiling_point
Tetraisocyanatosilane,C3410773,,0,no_boiling_point
4-Methoxybenzamide,C3424939,568.2,1,found
Nitroethene,C500016671,,0,no_boiling_point
11-Hydroxyundecanoic acid,C3669805,,0,no_boiling_point
2-Nitrophenylacetic acid,C3740521,,0,no_boiling_point
Trichloroacrylamide,,,0,not_found
12-Oxododecanoic acid,,,0,not_found
Dicetyl Ether,,,0,not_found
Vinyltriacetoxysilane,,,0,not_found
3-Phenylglutaric acid,,,0,not_found
3-Isopropylglutaric acid,,,0,not_found
Methyltriacetoxysilane,C4253343,,0,no_boiling_point
Pentyl sulfone,,,0,not_found
Rosiglitazone,,,0,not_found
Hexanohydroxamic acid,C4312930,,0,no_boiling_point
N-Ethylnicotinamide,,,0,not_found
4-Oxooctanoic acid,,,0,not_found
Bromanilic acid,C4370596,,0,no_boiling_point
4-Butanoylresorcinol,,,0,not_found
1-Phenyloctadecane,C4445072,,0,no_boiling_point
5-Pyridoxolactone,,,0,not_found
Octylphosphonic acid,,,0,not_found
2-Nitropropene,,,0,not_found
Dimethylolpropionic acid,C4767037,,0,no_boiling_point
4-Ethoxyphenylacetic acid,C4919339,,0,no_boiling_point
Methylsulfonylacetone,,,0,not_found
4-Chlorosalicylic acid,,,0,not_found
Perfluorotrihexylamine,C432086,,0,no_boiling_point
12-Hydroxydodecanoic acid,C505953,,0,no_boiling_point
2-Acetoxypropanoic acid,C535171,,0,no_boiling_point
Ethyl methyl sulfone,,,0,not_found
2-Stearoylglycerol,C621614,,0,no_boiling_point
4-Diazoquinone,,,0,not_found
6-Chloronicotinic acid,C5326238,,0,no_boiling_point
2-Hydrazinobenzoic acid,,,0,not_found
2-Butanoylthiophene,C5333835,,0,no_boiling_point
N-Ethylbenzenesulfonamide,,,0,not_found
2-Thiopheneethanol,C5402551,,0,no_boiling_point
2-Nitrophenylarsonic acid,,,0,not_found
Dimyristyl Ether,,,0,not_found
4-Bromophenylboronic acid,,,0,not_found
2-Isopropylthioxanthone,C5495841,,0,no_boiling_point
9-Formylnonanoic acid,,,0,not_found
Decaethylene glycol,C5579668,,0,no_boiling_point
Apigenin trimethyl ether,,,0,not_found
11-Cyanoundecanoic acid,,,0,not_found
Tetradodecylstannane,C5827565,,0,no_boiling_point
Chlorotridodecylstannane,,,0,not_found
Acetoacetamide,C5977140,,0,no_boiling_point
L-Alaninol,,,0,not_found
d-Alaninol,C35320231,447.7,1,found
Cyclopropanecarboxamide,C6228735,,0,no_boiling_point
6-Chloronicotinamide,,,0,not_found
N-Acetylhomoveratrylamine,C6275292,,0,no_boiling_point
Dioctadecyl ether,C6297036,,0,no_boiling_point
5-Bromovanillic acid,,,0,not_found
5-Sulfoisophthalic acid,,,0,not_found
o-Nitrocumene,C6526723,,0,no_boiling_point
Tetraisothiocyanatosilane,C6544021,,0,no_boiling_point
Hexadecanophenone,C6697127,,0,no_boiling_point
Dodecaethylene glycol,U352127,,0,no_boiling_point
Undecaethylene glycol,C6809707,,0,no_boiling_point
Benzylphosphonic Acid,,,0,not_found
4-Bromophthalic acid,C6968281,,0,no_boiling_point
4-Pteridinamine,,,0,not_found
Vocol,,,0,not_found
3-Phenoxypropionic acid,C7170389,513.2,1,found
11-Phenoxyundecanoic acid,C7170447,,0,no_boiling_point
2-Octadecanone,C7373139,,0,no_boiling_point
Octadecyltriethoxysilane,C7399000,,0,no_boiling_point
2-Bromohexadecanoic acid,,,0,not_found
Nitrosylsulfuric acid,,,0,not_found
Molybdic acid,,,0,not_found
4-Ethoxysalicylic acid,,,0,not_found
Hydroxytyrosol,,,0,not_found
10-Aminodecanoic acid,,,0,not_found
5-Acetylsalicylic acid,,,0,not_found
L-Leucic acid,,,0,not_found
Perrhenic acid,,,0,not_found
Acetoxyacetic acid,C13831306,,0,no_boiling_point
Aminomethanesulfonic acid,C13881919,,0,no_boiling_point
Biotin sulfone,,,0,not_found
D-Aspartic acid,C1783966,,0,no_boiling_point
Ketorolac Tromethamine,,,0,not_found
1-Docosanamine,C14130064,,0,no_boiling_point
2-Octanamidoacetic acid,,,0,not_found
Thevinone,,,0,not_found
Heneicosanol,C15594908,,0,no_boiling_point
Hexanitrosobenzene,,,0,not_found
4-Pentyloxybenzoic acid,C15872410,,0,no_boiling_point
2-Pyridineacetic acid,,,0,not_found
Dihydrothevinone,,,0,not_found
Hexadecyltrimethoxysilane,,,0,not_found
Methional diethyl acetal,,,0,not_found
4-Keto stearic acid,,,0,not_found
5-Oxooctadecanoic acid,,,0,not_found
Dihexadecylamine,C16724633,,0,no_boiling_point
10-Nonadecanol,C16840849,,0,no_boiling_point
3-Methylheptacosane,C14167669,,0,no_boiling_point
2-Ethyloctadecanoic acid,C14276803,,0,no_boiling_point
2-Hexyldodecanol,,,0,not_found
Flusulfamide,,,0,not_found
Sulfentrazone,,,0,not_found
Thifluzamide,C130000407,,0,no_boiling_point
Stearoyllactic acid,,,0,not_found
p-Cyanocinnamic acid,,,0,not_found
Ritalinic acid,,,0,not_found
3-Hydroxymandelic acid,,,0,not_found
4-Hydroxyphenylacetamide,,,0,not_found
Hexathiepane,C17233715,,0,no_boiling_point
Dimyristylamine,,,0,not_found
Ethyltriacetoxysilane,,,0,not_found
Methanesulfinic acid,C17696730,,0,no_boiling_point
Hexapropyldisiloxane,,,0,not_found
3-Octadecanone,C18261922,,0,no_boiling_point
Fluorotrihexylstannane,,,0,not_found
N-Octadecylbenzylamine,,,0,not_found
N-Methylacetoacetamide,,,0,not_found
L-Methionine sulfoximine,,,0,not_found
3-Methyldotriacontane,C20129491,,0,no_boiling_point
dl-Codamine,,,0,not_found
Oryzanol,,,0,not_found
5-Benzyloxytryptamine,,,0,not_found
Pentadecyloxirane,,,0,not_found
Loganic Acid,,,0,not_found
Nonadecylcyclohexane,C22349037,,0,no_boiling_point
2-Acetylbenzothiophene,,,0,not_found
3-Bromobenzamide,C22726007,,0,no_boiling_point
Abnormal cannabidiol,,,0,not_found
Ditrimethylolpropane,,,0,not_found
4-Isopropylresorcinol,,,0,not_found
4-Dodecylresorcinol,C24305564,,0,no_boiling_point
D-Iditol,,,0,not_found
2-Acetoxypropanal,C22094231,,0,no_boiling_point
Tetrapropylene glycol,,,0,not_found
Sobrerol,C498715,,0,no_boiling_point
Equol,,,0,not_found
Nirvanol,C631072,,0,no_boiling_point
Fluocinolone,,,0,not_found
6-Phosphogluconic acid,,,0,not_found
Catalpol,,,0,not_found
Glycidamide,,,0,not_found
4-Hydroxypropranolol,,,0,not_found
Salsolinol,,,0,not_found
Cybutryne,,,0,not_found
Gliquidone,,,0,not_found
2-Methylhippuric acid,,,0,not_found
Hydroxyflutamide,,,0,not_found
Bitertanol,C55179312,,0,no_boiling_point
Nuarimol,C63284719,,0,no_boiling_point
Flutriafol,C76674210,,0,no_boiling_point
Diclopentezol,,,0,not_found
Sulcotrione,,,0,not_found
Difethialone,,,0,not_found
1-Hexadecylnaphthalene,C83240420,,0,no_boiling_point
cis-Nabilone,,,0,not_found
Ruberythric acid,,,0,not_found
DL-Homocysteic acid,,,0,not_found
1-Pentacosanol,C26040982,,0,no_boiling_point
Phenylacetylglutamine,,,0,not_found
Glucuronolactone,,,0,not_found
Pyridafol,,,0,not_found
6-Hydroxybentazone,,,0,not_found
Vestitol,,,0,not_found
Allotetrahydrocortisol,,,0,not_found
11-Hydroxyprogesterone,,,0,not_found
Uvaol,C545460,,0,no_boiling_point
Hyocholic Acid,,,0,not_found
21-Deoxycortisol,,,0,not_found
19-Aldoandrostenedione,,,0,not_found
L-Penicillamine,,,0,not_found
Nipecotamide,C4138265,,0,no_boiling_point
Podocarpic acid,,,0,not_found
Isohumulone,C25522967,,0,no_boiling_point
Panaxytriol,,,0,not_found
9-Eicosenoic acid,,,0,not_found
11-Ketoprogesterone,,,0,not_found
Isomaltitol,,,0,not_found
2-Hydroxyoctanoic acid,,,0,not_found
Panthenyl ethyl ether,,,0,not_found
Pregnenediol,,,0,not_found
3-Hydroxydodecanoic acid,,,0,not_found
Isoallolithocholic acid,,,0,not_found
Dehydrodeoxycholic acid,,,0,not_found
Paradol,C27113220,,0,no_boiling_point
Stearoyl glutamic acid,,,0,not_found
Tetratriacontanoic acid,C38232041,,0,no_boiling_point
D-Glucuronic Acid,,,0,not_found
9-Acridinecarboxylic acid,,,0,not_found
16-Hentriacontanone,C502738,,0,no_boiling_point
Benzopinacol,C464722,,0,no_boiling_point
12-Oxooctadecanoic acid,,,0,not_found
3-Nitrofluorene,C5397375,,0,no_boiling_point
2-Pyridinesulfonic acid,,,0,not_found
Benzylarsonic acid,,,0,not_found
2-Methyleneglutaric acid,,,0,not_found
2-Naphthaleneacetamide,,,0,not_found
Phenylsuccinic acid,C635518,,0,no_boiling_point
Enallylpropymal,C1861218,,0,no_boiling_point
3-Bromosulfolane,,,0,not_found
N-Benzoylaspartic acid,,,0,not_found
Benzylidenemalonic acid,C584452,,0,no_boiling_point
5-Bromoorotic acid,,,0,not_found
Thymohydroquinone,C2217609,,0,no_boiling_point
Quinacetol,,,0,not_found
4-Acetoxybenzyl alcohol,,,0,not_found
Dotriacontanol,C6624799,,0,no_boiling_point
Imidazoleacetic acid,,,0,not_found
Isopropyl sulfone,,,0,not_found
3-Chlorophthalic acid,,,0,not_found
Ala-Val,C3303455,,0,no_boiling_point
3-Nitrophenanthrene,R346080,,0,no_boiling_point
4-Hydroxybenzylamine,,,0,not_found
4-Methylhippuric acid,,,0,not_found
s-Hexylglutathione,,,0,not_found
Ethyl p-tolyl sulfone,,,0,not_found
2-Chloromandelic acid,,,0,not_found
2-Hydroxydodecanoic acid,C2984556,,0,no_boiling_point
2-Bromostearic acid,C142949,,0,no_boiling_point
p-Bromomandelic acid,,,0,not_found
2-Hydroxypentanoic acid,,,0,not_found
4-Fluoromandelic acid,C395335,,0,no_boiling_point
Aurantiol,,,0,not_found
2-Nonadecanol,C26533368,,0,no_boiling_point
3-Methoxybenzamide,C5813865,,0,no_boiling_point
6-Oxoheptanoic acid,C3128072,,0,no_boiling_point
3-Methylhippuric acid,,,0,not_found
Tetrathiafulvalene,C31366253,,0,no_boiling_point
26-Hydroxycholesterol,,,0,not_found
Lecanoric Acid,,,0,not_found
Tetrahydrophthalamic acid,,,0,not_found
2-Hydroxyhexanoic acid,,,0,not_found
Syringaresinol,,,0,not_found
Claussequinone,,,0,not_found
N-Methylmercaptoacetamide,C20938743,,0,no_boiling_point
Difenpiramide,,,0,not_found
Clomesone,,,0,not_found
Rapanone,,,0,not_found
Aminomalonic acid,,,0,not_found
Dehydroneotenone,,,0,not_found
Eupatoriochromene,R429224,,0,no_boiling_point
Serinamide,,,0,not_found
5-Fluoroanthranilic acid,,,0,not_found
Propynamide,C7341960,,0,no_boiling_point
3'-Uridylic acid,,,0,not_found
2'-Cytidylic acid,,,0,not_found
Eldoral,,,0,not_found
Peracitol,,,0,not_found
Erythrodiol,,,0,not_found
Allotetrahydrocortisone,,,0,not_found
Quillaic Acid,,,0,not_found
Apocholic Acid,,,0,not_found
11-Ketoetiocholanolone,C739275,,0,no_boiling_point
11-Ketoandrosterone,C1231829,,0,no_boiling_point
21-Deoxycortisone,,,0,not_found
Gestonorone,,,0,not_found
2-Decylbutanedioic acid,,,0,not_found
PPG-10 Oleyl ether,,,0,not_found
Euparone,C53947867,,0,no_boiling_point
Desethylamiodarone,,,0,not_found
Alfaxalone,,,0,not_found
S-Nitrosoglutathione,,,0,not_found
Eicosyl ethyl ether,U406366,,0,no_boiling_point
Ethyl octadecyl amine,R543107,,0,no_boiling_point
Dihydrojasmonic acid,,,0,not_found
4-Nitromethylamphetamine,,,0,not_found
Val-Val,C3918943,,0,no_boiling_point
7alpha-Hydroxycholesterol,,,0,not_found
22-Hydroxycholesterol,,,0,not_found
Fusarochromanone,,,0,not_found
2-Aminopropiophenone,,,0,not_found
3-Hydroxypentanoic acid,,,0,not_found
Lycopsamine,R178248,,0,no_boiling_point
Zearalanone,,,0,not_found
Cafestol,,,0,not_found
Madecassol,,,0,not_found
Tamibarotene,,,0,not_found
Losartan carboxylic acid,,,0,not_found
9-Methyluric acid,,,0,not_found
p-Ethoxybenzamide,,,0,not_found
Glucoheptonolactone,,,0,not_found
1-Ethoxytetradecane,,,0,not_found
Palmitylphenoxybenzene,,,0,not_found
