arm,n_added,rmse,rmse_hard,rmse_change,rmse_change_ci,rmse_hard_change,rmse_hard_change_ci
base,0,26.171764701642573,52.24944670936941,,,,
+ heuristic 105,105,25.52453093454633,50.27379834030162,-0.6472337670962425,"(-2.17, 0.38)",-1.975648369067791,"(-7.1, 1.52)"
+ model-chosen 105,105,26.049409567811285,51.65779831869848,-0.12235513383128804,"(-0.73, 0.46)",-0.591648390670926,"(-2.43, 1.23)"
+ both (210),210,25.462384778230067,50.13689671771716,-0.7093799234125058,"(-1.74, 0.19)",-2.1125499916522514,"(-5.35, 0.76)"
