seed,strategy,n_labels,rmse,rmse_hard,frac_hard_labelled,selector_rmse
0,random,50,40.855625443661275,70.11768343875285,0.2,
0,random,100,36.84018802194075,60.34506014403694,0.22,
0,random,200,39.51158223820615,69.11005585625594,0.21,
0,random,300,32.70474884656406,53.2125665538641,0.22666666666666666,
0,random,400,32.98539885600951,55.29342686734387,0.22,
0,random,550,33.764515118410316,57.53130546694048,0.20909090909090908,
0,random,650,34.78868039992455,59.08033830917878,0.20461538461538462,
0,random,750,34.03458886962003,57.73159115395015,0.20933333333333334,
0,random,850,33.595635596660536,56.79651876406811,0.2211764705882353,
0,random,950,32.42842831711156,53.922592390935996,0.22,
0,random,1050,34.674769570441285,59.199713100829456,0.22,
0,random,1150,31.78937791708269,52.15298874404266,0.22260869565217392,
0,random,1250,32.045738842316396,52.4932479530822,0.2232,
0,random,1350,32.09478336303895,53.05058787654297,0.2237037037037037,
0,random,1354,31.907010428136743,51.950739053476404,0.22378138847858198,
0,heuristic,50,40.855625443661275,70.11768343875285,0.2,
0,heuristic,100,37.77980199688496,60.36264976699866,0.6,
0,heuristic,200,35.47471847986286,53.80149229181835,0.8,
0,heuristic,300,35.21334438370012,53.04573494642184,0.8666666666666667,
0,heuristic,400,34.17019346562308,51.36116189925597,0.7575,
0,heuristic,550,32.28364578112573,50.78675826801172,0.5509090909090909,
0,heuristic,650,32.26710709064988,51.53284897595335,0.46615384615384614,
0,heuristic,750,32.331257197917566,51.34535777662161,0.404,
0,heuristic,850,31.96158163636603,51.935727031645435,0.3564705882352941,
0,heuristic,950,31.71555460999309,51.4589798211086,0.31894736842105265,
0,heuristic,1050,31.977614422081142,52.67934015178525,0.2885714285714286,
0,heuristic,1150,31.43171283815401,50.839408839057214,0.2634782608695652,
0,heuristic,1250,31.603518743619382,52.4395475494775,0.2424,
0,heuristic,1350,31.46862750271506,52.24949248835307,0.22444444444444445,
0,heuristic,1354,31.82793988342129,52.327351210097746,0.22378138847858198,
0,gp_uncertainty,50,40.855625443661275,70.11768343875285,0.2,48.8768005525477
0,gp_uncertainty,100,45.64370230905067,83.31490472034113,0.49,42.330350931145674
0,gp_uncertainty,200,36.94327652211846,58.13972384930177,0.5,37.239435592817756
0,gp_uncertainty,300,34.677244957154414,52.8529356973701,0.49666666666666665,34.30691928034641
0,gp_uncertainty,400,32.859462441822195,52.62709532763413,0.4725,33.34571127462935
0,gp_uncertainty,550,31.577278393465733,50.84639982381199,0.41818181818181815,32.4437104860388
0,gp_uncertainty,650,32.10456296882547,51.35250166864168,0.3861538461538462,32.30603114023783
0,gp_uncertainty,750,31.59972842990784,51.58656120925168,0.36533333333333334,32.0596282199357
0,gp_uncertainty,850,31.708819185738353,51.678864880842134,0.34352941176470586,31.80651776377413
0,gp_uncertainty,950,31.163117766471057,50.12470127658616,0.31684210526315787,33.18781518955294
0,gp_uncertainty,1050,31.837518737964658,52.265372175651855,0.2885714285714286,33.09425560027316
0,gp_uncertainty,1150,31.571525696428967,51.30726028896898,0.2634782608695652,38.19256044203258
0,gp_uncertainty,1250,31.63396499330524,51.15842053786413,0.2424,38.085875606381556
0,gp_uncertainty,1350,31.6325118539886,52.113546438762306,0.22444444444444445,37.97144152144752
0,gp_uncertainty,1354,31.160676349230968,50.758325811804895,0.22378138847858198,37.967802740955406
0,bootstrap_xgb,50,40.855625443661275,70.11768343875285,0.2,57.96824648750553
0,bootstrap_xgb,100,36.54374065127962,57.97352508754891,0.59,45.95034945314248
0,bootstrap_xgb,200,35.731234356483306,58.09332218381518,0.625,38.40059902159604
0,bootstrap_xgb,300,33.30328134882496,51.419534335441725,0.62,35.46736619286788
0,bootstrap_xgb,400,32.08615425592906,51.13181774896214,0.56,34.90340512712763
0,bootstrap_xgb,550,31.724891805797576,49.92471705131224,0.4909090909090909,33.02956128415637
0,bootstrap_xgb,650,31.5868490391518,50.910596171622,0.4230769230769231,32.63403105831227
0,bootstrap_xgb,750,32.0497906777623,51.564420124543716,0.38,33.11282439368818
0,bootstrap_xgb,850,32.04527009199897,52.219451057217945,0.3423529411764706,33.36355559635128
0,bootstrap_xgb,950,30.813962240150794,49.38885524151225,0.31684210526315787,31.90274336593889
0,bootstrap_xgb,1050,32.2456054005678,52.42596455987376,0.2876190476190476,32.69289888964185
0,bootstrap_xgb,1150,31.681549681819703,51.89357302712081,0.2634782608695652,32.616673833463885
0,bootstrap_xgb,1250,31.960305126057065,52.13445768669269,0.2424,32.595232423531385
0,bootstrap_xgb,1350,31.77288273520066,51.49896507187907,0.22444444444444445,33.115378559291266
0,bootstrap_xgb,1354,31.264124708655878,50.599385377975715,0.22378138847858198,33.07410148771554
1,random,50,43.14911435126838,69.79106695348433,0.2,
1,random,100,39.79868459605655,63.81212535080631,0.18,
1,random,200,35.94977698923236,55.50272109379122,0.205,
1,random,300,34.87561004462831,55.79215704660623,0.23,
1,random,400,32.65167885219237,50.05352314490272,0.2225,
1,random,550,32.725355028391796,50.514502302960715,0.21818181818181817,
1,random,650,32.21267957956551,50.74034098715166,0.2169230769230769,
1,random,750,31.69952113958924,49.71789991420995,0.21866666666666668,
1,random,850,31.822729107294982,50.47081640081664,0.22823529411764706,
1,random,950,32.48306884033866,53.60979254113891,0.22736842105263158,
1,random,1050,32.23582013175588,53.007828678814576,0.2361904761904762,
1,random,1150,31.959433616698494,52.00307509632236,0.22782608695652173,
1,random,1250,31.627558675465338,51.15989961567348,0.224,
1,random,1350,31.707492006606138,52.169292542679436,0.2237037037037037,
1,random,1354,31.393553227230207,51.86948856740913,0.22378138847858198,
1,heuristic,50,43.14911435126838,69.79106695348433,0.2,
1,heuristic,100,41.87497605127752,69.21717797426962,0.6,
1,heuristic,200,35.86104745287851,53.46431551935118,0.8,
1,heuristic,300,33.869086308536545,47.870010524963,0.8666666666666667,
1,heuristic,400,32.68496643437166,49.85405969467401,0.7575,
1,heuristic,550,31.80482385068034,51.0545768361254,0.5509090909090909,
1,heuristic,650,32.021232599215224,50.922977957298365,0.46615384615384614,
1,heuristic,750,31.763775133963666,50.90280782366439,0.404,
1,heuristic,850,31.972713688840596,51.35185287194635,0.3564705882352941,
1,heuristic,950,31.50915772344361,50.56588010631116,0.31894736842105265,
1,heuristic,1050,32.105719313818945,52.05134076108126,0.2885714285714286,
1,heuristic,1150,31.321692888252716,50.8393489030436,0.2634782608695652,
1,heuristic,1250,32.03622208447016,52.295382309761294,0.2424,
1,heuristic,1350,31.717990513049315,51.18216519099818,0.22444444444444445,
1,heuristic,1354,31.040783608744523,50.40080733301821,0.22378138847858198,
1,gp_uncertainty,50,43.14911435126838,69.79106695348433,0.2,65.16265033582913
1,gp_uncertainty,100,45.11285801500588,84.09106518175008,0.45,52.195898302794006
1,gp_uncertainty,200,40.2098276217026,71.71930921579039,0.51,43.00266947543437
1,gp_uncertainty,300,33.0282818608149,53.04550031192728,0.5033333333333333,33.65158099742739
1,gp_uncertainty,400,31.963141967221745,50.75333375850885,0.4725,33.29298065083194
1,gp_uncertainty,550,31.953563466682247,51.457639607239386,0.4163636363636364,32.422115459423104
1,gp_uncertainty,650,31.72705537202755,51.08558663138234,0.38461538461538464,32.33282381814041
1,gp_uncertainty,750,31.948392052021617,51.70824630827312,0.364,32.08047691987008
1,gp_uncertainty,850,31.763132670781538,51.62117470082314,0.34352941176470586,31.834536581347887
1,gp_uncertainty,950,31.18128134344646,50.563786840918524,0.31684210526315787,33.20179199070418
1,gp_uncertainty,1050,31.551375792286045,51.51757990197257,0.2885714285714286,33.09222653453964
1,gp_uncertainty,1150,31.331573079078346,50.880857194114384,0.2634782608695652,38.15623978343915
1,gp_uncertainty,1250,31.708472628624154,51.53456216009683,0.2424,38.045538762884476
1,gp_uncertainty,1350,31.50527292697433,51.514269602672215,0.22444444444444445,37.93404377660132
1,gp_uncertainty,1354,31.669383951048925,51.81476791901271,0.22378138847858198,37.93041880999638
1,bootstrap_xgb,50,43.14911435126838,69.79106695348433,0.2,52.81417741298583
1,bootstrap_xgb,100,37.10897589906513,54.88207132165169,0.51,50.66498197769302
1,bootstrap_xgb,200,36.78360943995773,56.91169522576126,0.695,39.95041231543903
1,bootstrap_xgb,300,31.73339050848774,49.71556076554023,0.6,33.72927315257257
1,bootstrap_xgb,400,31.549552008695,50.060122250991945,0.57,36.130178450278436
1,bootstrap_xgb,550,31.697068724681177,50.61509887061733,0.4690909090909091,34.03188892555633
1,bootstrap_xgb,650,32.35844763928021,51.994157655156606,0.42153846153846153,32.79078228385541
1,bootstrap_xgb,750,31.881600418930592,51.416691996848726,0.38,32.50440080763076
1,bootstrap_xgb,850,31.6433029223918,51.29096767675678,0.3458823529411765,32.61509579132296
1,bootstrap_xgb,950,31.35533972449302,51.217400528176626,0.31894736842105265,33.462201035992024
1,bootstrap_xgb,1050,31.513304349838048,51.429587276169975,0.2885714285714286,32.377099254800754
1,bootstrap_xgb,1150,31.965869934045195,52.6231619193061,0.2634782608695652,32.4902196659775
1,bootstrap_xgb,1250,31.544424393480917,51.66024921721157,0.2424,32.679995950487275
1,bootstrap_xgb,1350,31.811844160073846,51.97204754840956,0.22444444444444445,33.12468612115625
1,bootstrap_xgb,1354,32.017926293905624,53.14395482461544,0.22378138847858198,32.16253961993315
2,random,50,64.76735656226279,109.54256736088463,0.14,
2,random,100,42.98614977391275,74.7129443074798,0.2,
2,random,200,35.54311980516255,57.507518245765645,0.235,
2,random,300,36.00259139783311,60.29265073188701,0.22666666666666666,
2,random,400,35.162830830839276,58.5965509265125,0.2225,
2,random,550,34.05834691936975,57.09420989199604,0.23636363636363636,
2,random,650,33.440888466027864,56.09911219556335,0.2276923076923077,
2,random,750,33.29470393277864,56.16443979387138,0.23066666666666666,
2,random,850,31.972222557402507,52.76690517096947,0.22705882352941176,
2,random,950,31.814446057122122,51.789291164232715,0.2294736842105263,
2,random,1050,33.485696070013454,55.26029122990083,0.2276190476190476,
2,random,1150,31.601938209728814,52.222267147160856,0.22695652173913045,
2,random,1250,32.287574160017506,53.999741398156466,0.228,
2,random,1350,31.834696744700484,52.227378401760525,0.2237037037037037,
2,random,1354,31.340072809325775,51.35676893278933,0.22378138847858198,
2,heuristic,50,64.76735656226279,109.54256736088463,0.14,
2,heuristic,100,41.65489004486531,67.73227507251114,0.57,
2,heuristic,200,36.69902022091348,55.32781407552892,0.785,
2,heuristic,300,35.42118677491022,52.73083262031287,0.8566666666666667,
2,heuristic,400,32.98836781181331,50.5200836180522,0.7575,
2,heuristic,550,34.30176194830292,51.60937748865164,0.5509090909090909,
2,heuristic,650,33.54859365881236,51.27934808343241,0.46615384615384614,
2,heuristic,750,32.99415985805771,52.15619213422689,0.404,
2,heuristic,850,33.42352383443603,53.00470964680815,0.3564705882352941,
2,heuristic,950,32.36474118877446,51.045979971770755,0.31894736842105265,
2,heuristic,1050,32.74407929483949,53.68699280157411,0.2885714285714286,
2,heuristic,1150,31.98894301696614,51.058548670868966,0.2634782608695652,
2,heuristic,1250,31.708551371390868,50.74699030074919,0.2424,
2,heuristic,1350,31.33653935505704,51.266991473351304,0.22444444444444445,
2,heuristic,1354,31.436761977907175,51.017684196063236,0.22378138847858198,
2,gp_uncertainty,50,64.76735656226279,109.54256736088463,0.14,63.78655959570523
2,gp_uncertainty,100,39.957469381050096,67.98677066157984,0.42,44.14862749724112
2,gp_uncertainty,200,34.433532981371386,55.435434355600655,0.515,35.344782273276046
2,gp_uncertainty,300,35.093583662913645,54.35857555051662,0.5033333333333333,34.79517517865881
2,gp_uncertainty,400,32.289274260775926,52.238056788963206,0.4675,33.256497993967734
2,gp_uncertainty,550,31.877430466339643,52.08581326754394,0.4163636363636364,32.330869938755654
2,gp_uncertainty,650,31.737137617016668,51.23135293724948,0.38461538461538464,32.21515119695414
2,gp_uncertainty,750,31.89500744123276,51.59132598206504,0.364,32.0119000960981
2,gp_uncertainty,850,31.789064061579236,51.8490993576963,0.34352941176470586,31.835870936445822
2,gp_uncertainty,950,31.111266029650547,50.12729838202239,0.31684210526315787,33.212974347736875
2,gp_uncertainty,1050,32.23436964523762,53.232817302037795,0.2885714285714286,33.12602596058989
2,gp_uncertainty,1150,31.438471526133636,51.75262808294383,0.2634782608695652,38.18810062588161
2,gp_uncertainty,1250,31.74578234895787,52.40175802747676,0.2424,38.0847544278882
2,gp_uncertainty,1350,31.240844147169305,51.22498713935338,0.22444444444444445,37.971388511957464
2,gp_uncertainty,1354,31.53760151354596,51.66223695384788,0.22378138847858198,37.967763811417086
2,bootstrap_xgb,50,64.76735656226279,109.54256736088463,0.14,64.68297541075547
2,bootstrap_xgb,100,54.085385685681494,83.93964821013972,0.57,51.04067474807088
2,bootstrap_xgb,200,35.49274355330774,52.394869258421835,0.675,39.02067206296773
