strategy,seed,lookups,hits
feasibility,4,4000,105
feasibility,4,4100,105
feasibility,4,4200,105
feasibility,4,4300,105
feasibility,4,4400,105
feasibility,4,4500,105
feasibility,4,4600,105
feasibility,4,4700,105
feasibility,4,4800,105
feasibility,4,4900,105
feasibility,4,5000,105
feasibility,4,5100,105
feasibility,4,5200,105
feasibility,4,5300,105
feasibility,4,5400,105
feasibility_weighted,0,100,1
feasibility_weighted,0,200,1
feasibility_weighted,0,300,1
feasibility_weighted,0,400,1
feasibility_weighted,0,500,1
feasibility_weighted,0,600,1
feasibility_weighted,0,700,1
feasibility_weighted,0,800,1
feasibility_weighted,0,900,1
feasibility_weighted,0,1000,1
feasibility_weighted,0,1100,1
feasibility_weighted,0,1200,1
feasibility_weighted,0,1300,1
feasibility_weighted,0,1400,1
feasibility_weighted,0,1500,2
feasibility_weighted,0,1600,2
feasibility_weighted,0,1700,2
feasibility_weighted,0,1800,2
feasibility_weighted,0,1900,2
feasibility_weighted,0,2000,2
feasibility_weighted,0,2100,5
feasibility_weighted,0,2200,6
feasibility_weighted,0,2300,6
feasibility_weighted,0,2400,6
feasibility_weighted,0,2500,6
feasibility_weighted,0,2600,6
feasibility_weighted,0,2700,6
feasibility_weighted,0,2800,6
feasibility_weighted,0,2900,6
feasibility_weighted,0,3000,6
feasibility_weighted,0,3100,6
feasibility_weighted,0,3200,7
feasibility_weighted,0,3300,10
feasibility_weighted,0,3400,34
feasibility_weighted,0,3500,49
feasibility_weighted,0,3600,66
feasibility_weighted,0,3700,74
feasibility_weighted,0,3800,81
feasibility_weighted,0,3900,87
feasibility_weighted,0,4000,92
feasibility_weighted,0,4100,93
feasibility_weighted,0,4200,93
feasibility_weighted,0,4300,94
feasibility_weighted,0,4400,94
feasibility_weighted,0,4500,94
feasibility_weighted,0,4600,95
feasibility_weighted,0,4700,101
feasibility_weighted,0,4800,102
feasibility_weighted,0,4900,102
feasibility_weighted,0,5000,103
feasibility_weighted,0,5100,104
feasibility_weighted,0,5200,104
feasibility_weighted,0,5300,105
feasibility_weighted,0,5400,105
feasibility_weighted,1,100,3
feasibility_weighted,1,200,3
feasibility_weighted,1,300,3
feasibility_weighted,1,400,3
feasibility_weighted,1,500,3
feasibility_weighted,1,600,3
feasibility_weighted,1,700,3
feasibility_weighted,1,800,3
feasibility_weighted,1,900,3
feasibility_weighted,1,1000,3
feasibility_weighted,1,1100,3
feasibility_weighted,1,1200,3
feasibility_weighted,1,1300,3
feasibility_weighted,1,1400,3
feasibility_weighted,1,1500,3
feasibility_weighted,1,1600,4
feasibility_weighted,1,1700,4
feasibility_weighted,1,1800,4
feasibility_weighted,1,1900,4
feasibility_weighted,1,2000,4
feasibility_weighted,1,2100,5
feasibility_weighted,1,2200,6
feasibility_weighted,1,2300,6
feasibility_weighted,1,2400,6
feasibility_weighted,1,2500,8
feasibility_weighted,1,2600,21
feasibility_weighted,1,2700,41
feasibility_weighted,1,2800,52
feasibility_weighted,1,2900,55
feasibility_weighted,1,3000,62
feasibility_weighted,1,3100,76
feasibility_weighted,1,3200,86
feasibility_weighted,1,3300,89
feasibility_weighted,1,3400,92
feasibility_weighted,1,3500,92
feasibility_weighted,1,3600,92
feasibility_weighted,1,3700,95
feasibility_weighted,1,3800,97
feasibility_weighted,1,3900,99
feasibility_weighted,1,4000,100
feasibility_weighted,1,4100,100
feasibility_weighted,1,4200,101
feasibility_weighted,1,4300,103
feasibility_weighted,1,4400,103
feasibility_weighted,1,4500,103
feasibility_weighted,1,4600,104
feasibility_weighted,1,4700,104
feasibility_weighted,1,4800,105
feasibility_weighted,1,4900,105
feasibility_weighted,1,5000,105
feasibility_weighted,1,5100,105
feasibility_weighted,1,5200,105
feasibility_weighted,1,5300,105
feasibility_weighted,1,5400,105
feasibility_weighted,2,100,2
feasibility_weighted,2,200,2
feasibility_weighted,2,300,2
feasibility_weighted,2,400,2
feasibility_weighted,2,500,2
feasibility_weighted,2,600,2
feasibility_weighted,2,700,2
feasibility_weighted,2,800,2
feasibility_weighted,2,900,2
feasibility_weighted,2,1000,2
feasibility_weighted,2,1100,2
feasibility_weighted,2,1200,2
feasibility_weighted,2,1300,2
feasibility_weighted,2,1400,2
feasibility_weighted,2,1500,3
feasibility_weighted,2,1600,3
feasibility_weighted,2,1700,3
feasibility_weighted,2,1800,3
feasibility_weighted,2,1900,3
feasibility_weighted,2,2000,3
feasibility_weighted,2,2100,3
feasibility_weighted,2,2200,3
feasibility_weighted,2,2300,6
feasibility_weighted,2,2400,6
feasibility_weighted,2,2500,6
feasibility_weighted,2,2600,7
feasibility_weighted,2,2700,13
feasibility_weighted,2,2800,28
feasibility_weighted,2,2900,43
feasibility_weighted,2,3000,55
feasibility_weighted,2,3100,63
feasibility_weighted,2,3200,68
feasibility_weighted,2,3300,85
feasibility_weighted,2,3400,88
feasibility_weighted,2,3500,91
feasibility_weighted,2,3600,92
feasibility_weighted,2,3700,92
feasibility_weighted,2,3800,93
feasibility_weighted,2,3900,94
feasibility_weighted,2,4000,94
feasibility_weighted,2,4100,94
feasibility_weighted,2,4200,95
feasibility_weighted,2,4300,101
feasibility_weighted,2,4400,102
feasibility_weighted,2,4500,102
feasibility_weighted,2,4600,102
feasibility_weighted,2,4700,103
feasibility_weighted,2,4800,104
feasibility_weighted,2,4900,104
feasibility_weighted,2,5000,105
feasibility_weighted,2,5100,105
feasibility_weighted,2,5200,105
feasibility_weighted,2,5300,105
feasibility_weighted,2,5400,105
feasibility_weighted,3,100,1
feasibility_weighted,3,200,1
feasibility_weighted,3,300,1
feasibility_weighted,3,400,1
feasibility_weighted,3,500,1
feasibility_weighted,3,600,1
feasibility_weighted,3,700,1
feasibility_weighted,3,800,1
feasibility_weighted,3,900,1
feasibility_weighted,3,1000,1
feasibility_weighted,3,1100,1
feasibility_weighted,3,1200,1
feasibility_weighted,3,1300,1
feasibility_weighted,3,1400,1
feasibility_weighted,3,1500,1
feasibility_weighted,3,1600,2
feasibility_weighted,3,1700,2
feasibility_weighted,3,1800,3
feasibility_weighted,3,1900,3
feasibility_weighted,3,2000,4
feasibility_weighted,3,2100,4
feasibility_weighted,3,2200,4
feasibility_weighted,3,2300,4
feasibility_weighted,3,2400,4
feasibility_weighted,3,2500,6
feasibility_weighted,3,2600,6
feasibility_weighted,3,2700,6
feasibility_weighted,3,2800,6
feasibility_weighted,3,2900,7
feasibility_weighted,3,3000,9
feasibility_weighted,3,3100,29
feasibility_weighted,3,3200,44
feasibility_weighted,3,3300,56
feasibility_weighted,3,3400,60
feasibility_weighted,3,3500,65
feasibility_weighted,3,3600,73
feasibility_weighted,3,3700,81
feasibility_weighted,3,3800,95
feasibility_weighted,3,3900,97
feasibility_weighted,3,4000,99
feasibility_weighted,3,4100,99
feasibility_weighted,3,4200,99
feasibility_weighted,3,4300,100
feasibility_weighted,3,4400,100
feasibility_weighted,3,4500,102
feasibility_weighted,3,4600,102
feasibility_weighted,3,4700,104
feasibility_weighted,3,4800,104
feasibility_weighted,3,4900,104
feasibility_weighted,3,5000,104
feasibility_weighted,3,5100,105
feasibility_weighted,3,5200,105
feasibility_weighted,3,5300,105
feasibility_weighted,3,5400,105
feasibility_weighted,4,100,1
feasibility_weighted,4,200,2
feasibility_weighted,4,300,2
feasibility_weighted,4,400,2
feasibility_weighted,4,500,2
feasibility_weighted,4,600,2
feasibility_weighted,4,700,2
feasibility_weighted,4,800,2
feasibility_weighted,4,900,2
feasibility_weighted,4,1000,2
feasibility_weighted,4,1100,2
feasibility_weighted,4,1200,2
feasibility_weighted,4,1300,2
feasibility_weighted,4,1400,2
feasibility_weighted,4,1500,2
feasibility_weighted,4,1600,2
feasibility_weighted,4,1700,2
feasibility_weighted,4,1800,2
feasibility_weighted,4,1900,2
feasibility_weighted,4,2000,2
feasibility_weighted,4,2100,2
feasibility_weighted,4,2200,3
feasibility_weighted,4,2300,3
feasibility_weighted,4,2400,3
feasibility_weighted,4,2500,5
feasibility_weighted,4,2600,6
feasibility_weighted,4,2700,7
feasibility_weighted,4,2800,16
feasibility_weighted,4,2900,44
feasibility_weighted,4,3000,59
feasibility_weighted,4,3100,67
feasibility_weighted,4,3200,72
feasibility_weighted,4,3300,81
feasibility_weighted,4,3400,87
feasibility_weighted,4,3500,89
feasibility_weighted,4,3600,91
feasibility_weighted,4,3700,92
feasibility_weighted,4,3800,92
feasibility_weighted,4,3900,93
feasibility_weighted,4,4000,94
feasibility_weighted,4,4100,94
feasibility_weighted,4,4200,95
feasibility_weighted,4,4300,101
feasibility_weighted,4,4400,103
feasibility_weighted,4,4500,103
feasibility_weighted,4,4600,103
feasibility_weighted,4,4700,103
feasibility_weighted,4,4800,103
feasibility_weighted,4,4900,104
feasibility_weighted,4,5000,105
feasibility_weighted,4,5100,105
feasibility_weighted,4,5200,105
feasibility_weighted,4,5300,105
feasibility_weighted,4,5400,105
