split,half,literature_only,with_other_half
0,0,82.1029964553696,24.955373168925064
0,1,81.21470295387074,25.599014592128594
1,0,81.21027983687337,20.098047400805708
1,1,82.12444309162574,20.21057691639844
2,0,88.29518354962345,25.597972529660705
2,1,74.29939071563352,19.76642732016091
